FMID,MarketName,street,city,County,State,zip,x,y
1018261,"Caledonia Farmers Market Association - Danville",,Danville,Caledonia,Vermont,05828,-72.140337,44.411036
1018318,"Stearns Homestead Farmers' Market","6975 Ridge Road",Parma,Cuyahoga,Ohio,,-81.7339387,41.3748009
1009364,"106 S. Main Street Farmers Market","106 S. Main Street","Six Mile",,"South Carolina",29682,-82.8187,34.8042
1010691,"10th Steet Community Farmers Market","10th Street And Poplar",Lamar,Barton,Missouri,64759,-94.2746191,37.495628
1002454,"112st Madison Avenue","112th Madison Avenue","New York","New York","New York",10029,-73.9493,40.7939
1011100,"12 South Farmers Market","3000 Granny White Pike",Nashville,Davidson,Tennessee,37204,-86.790709,36.11837
1009845,"125th Street Fresh Connect Farmers' Market","163 West 125th Street And Adam Clayton Powell, Jr. Blvd.","New York","New York","New York",10027,-73.9482477,40.8089533
1005586,"12th & Brandywine Urban Farm Market","12th & Brandywine Streets",Wilmington,"New Castle",Delaware,19801,-75.53446,39.742117
1008071,"14&u Farmers' Market","1400 U Street Nw",Washington,"District Of Columbia","District Of Columbia",20009,-77.0320505,38.9169984
1012710,"14th & Kennedy Street Farmers Market","5500 Colorado Avenue, Nw",Washington,"District Of Columbia","District Of Columbia",20011,-77.0334486,38.9559783
1019157,"16th Ave Farmers Market","Ne 16th Ave & Broadway",Portland,Multnomah,Oregon,97212,-122.649446,45.534498
1018792,"170 Farm Stand","Ne Corner Of 170th St. & Townsend Avenue",Bronx,Bronx,"New York",10452,-73.9167841,40.8398843
1016782,"175th Street Greenmarket","175th Street Between Wadsworth & Broadway","New York","New York","New York",10033,-73.938049,40.846354
1003877,"17th Ave Market","1622 6th St Ne",Minneapolis,Hennepin,Minnesota,55413,-93.2591,45.0044
1016784,"17th Street Farmers Market","100 North 17th St.",Richmond,"Richmond City",Virginia,23219,-77.428364,37.53385
1010968,"18th And Christian Farmers' Market","18th Street And Christian Street",Philadelphia,Philadelphia,Pennsylvania,19146,-75.173431,39.940943
1009994,"18th Street Farmer's Market","18th And Broadway",Scottsbluff,"Scotts Bluff",Nebraska,69361,-103.662538,41.864268
1018365,"18th Street Farmers Market","825 18th Street",Charleston,Coles,Illinois,61920,-88.1622392,39.4907144
1012790,"19/27 Community Farmers Market","Ne 7th Ave",Chiefland,Levy,Florida,32626,-82.8578732,29.4848541
1012158,"21 Acres Farm Market","13701 Ne 171st Street",Woodinville,King,Washington,98072,-122.1569875,47.7502397
1010873,"21st Street Farmers Market","Sw 21st And Oakley",Topeka,Shawnee,Kansas,66604,-95.714514,39.028184
1005309,"22nd And Tasker Farmers' Market","22nd And Tasker Streets",Philadelphia,Philadelphia,Pennsylvania,19146,-75.181286,39.932257
1000709,"22nd Annual Highlands Business Partnership Farmers Market","71 Waterwitch Avenue",Highlands,Monmouth,"New Jersey",07732,-73.994358,40.404837
1011881,"25th Street Market - North Logan At The Library Summer 2016","475 East 2500 North","North Logan",Cache,Utah,84341,-111.8206049,41.7782437
1010966,"26th And Allegheny","26th Street And W Allegheny Avenue",Philadelphia,Philadelphia,Pennsylvania,19129,-75.1722883,40.0040946
1005299,"29th And Wharton Farmers' Market","29th And Wharton Streets",Philadelphia,Philadelphia,Pennsylvania,19146,-75.19204,39.9373
1010994,"2nd Street Farmers' Market","194 Second Street",Amherst,Amherst,Virginia,24521,-79.048573,37.583311
1009959,"2nd Street Market - Five Rivers Metropark","600 E. 2nd Street",Dayton,Montgomery,Ohio,45402,-84.18103,39.762593
1004950,"3 French Hens French Country Market","123 W. Illinois Ave.",Morris,Grundy,Illinois,60450,-88.425186,41.356383
1010775,"30a Farmers' Market","Rosmary Beach Town Center","Rosemary Beach",Walton,Florida,32461,-86.002754,30.279017
1018656,"31 & Main Farmers Market At Campus Town","1928 Pennington Road",Ewing,Mercer,"New Jersey",08618,-74.783289,40.268253
1005636,"32nd Street/waverly Farmers Market","E. 32nd & Barclay Street",Baltimore,Baltimore,Maryland,21218,-76.611,39.3272
1005310,"33rd And Diamond Farmers' Market","N 33rd And Diamond Streets",Philadelphia,Philadelphia,Pennsylvania,19121,-75.187167,39.988802
1018389,"38th & Meridian Farmer's Market","3808 N Meridian St",Indianapolis,Marion,Indiana,46208,-86.1575468,39.8255595
1012280,"39 North Marketplace","Downtown Sparks Victorian Ave",Sparks,Washoe,Nevada,89431,-119.754962,39.534773
1011213,"441 Ministries Farm Stand","441 Parsells Avenue",Rochester,Monroe,"New York",14609,-77.5666043,43.1658344
