FMID,Website,Facebook,Twitter,Youtube,OtherMedia
1018261,https://sites.google.com/site/caledoniafarmersmarket/,https://www.facebook.com/Danville.VT.Farmers.Market/,,,
1018318,http://www.StearnsHomestead.com,StearnsHomesteadFarmersMarket,,,
1009364,http://thetownofsixmile.wordpress.com/,,,,
1010691,,,,,http://agrimissouri.com/mo-grown/grodetail.php?type=mo-grown&ID=275
1011100,http://www.12southfarmersmarket.com,12_South_Farmers_Market,@12southfrmsmkt,,@12southfrmsmkt
1009845,http://www.125thStreetFarmersMarket.com,https://www.facebook.com/125thStreetFarmersMarket,https://twitter.com/FarmMarket125th,,"Instagram--> 125thStreetFarmersMarket"
1005586,,https://www.facebook.com/pages/12th-Brandywine-Urban-Farm-Community-Garden/253769448091860,,,https://www.facebook.com/delawareurbanfarmcoalition
1008071,,https://www.facebook.com/14UFarmersMarket,https://twitter.com/14UFarmersMkt,,
1012710,,https://www.facebook.com/14KennnedyFarmersMarket/,14KenFM,,instagram:14kenfm
1019157,http://16thavefarmersmarket.com,,,,
1018792,,https://www.facebook.com/CommunityFoodAction/,https://twitter.com/GoodEatsBX,https://www.youtube.com/channel/UCZnt7sSNKIBrn2rMy1RyE_w,https://www.instagram.com/goodeatsbx/
1016782,https://www.grownyc.org/greenmarket/manhattan/175th-street,https://www.facebook.com/ManhattanGreenmarkets/,,,
1003877,http://www.iatp.org/minimarkets,,,,
1016784,http://enrichmond.org,https://www.facebook.com/17thStreetFarmersMarket/,,,
1010968,http://thefoodtrust.org/farmers-markets/market/18th-Christian,,,,
1009994,,https://www.facebook.com/ScottsbluffFarmersMarket,,,
1018365,,"18th Street Farmers Market",,,
1012790,,https://www.facebook.com/1927-Community-Farmers-Market-1505265436358960/,,,
1012158,http://21acres.org,https://www.facebook.com/21Acres/,@21acres,"21AcresCenter's channel","Instagram @21acres"
1005309,http://thefoodtrust.org/farmers-markets/market/22nd-tasker,,,,
1000709,http://www.highlandsnj.com,https://www.facebook.com/pages/Highlands-Business-Partnership-Highlands-NJ/165486543524770,,,
1011881,http://northloganmarket.com,"25th Street Market - North Logan at the Library",,,"Instagram: north logan market  (25th Street Market)"
1010966,http://thefoodtrust.org/farmers-markets/market/26th-Allegheny,,,,
1005299,http://thefoodtrust.org/farmers-markets/market/29th-wharton,,,,
1010994,http://secondstageAmherst.org,"second stage of AMherst",,,
1009959,http://www.metroparks.org,https://www.facebook.com/2ndStreetMarket/,,,
1004950,http://www.3frenchhensmarket.blogspot.com,https://www.facebook.com/pages/3-French-Hens-French-Country-Market/422352511143508,,,
1010775,,https://www.facebook.com/30aFarmersMarket?ref=hl,,,
1018656,http://www.31mainfarmersmarket.com,https://www.facebook.com/31mainfarmersmarket/,"https://www.twitter.com/31mainfarmmarkt	",,"https://www.instagram.com/31mainfarmersmarket "
1005636,http://www.32ndstreetmarket.org,https://www.facebook.com/pages/Baltimores-32nd-Street-Farmers-Market/194872083921466?sk=wall,,,
1005310,http://thefoodtrust.org/farmers-markets/market/33rd-diamond,,,,
1012280,http://www.39northdowntown.com,"39 North ","39North Downtown",,
1010965,http://thefoodtrust.org/farmers-markets/market/fairhill-square,,,,
1006234,http://www.4thstreetfarmersmarket.com,,,,
1005304,http://thefoodtrust.org/farmers-markets/market/52nd-haverford,,,,
1000060,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,
1005306,http://thefoodtrust.org/farmers-markets/market/58th-chester,,,,
1018965,https://experimentalstation.org/market,61market,61market,,"Instagram: "
1000061,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,
1000062,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,
1000063,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,
1000064,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,
1011989,http://Farmtoforkks.com,,,,
1000986,http://www.9thwestfarmersmarket.org,https://www.facebook.com/9thwestfarmersmarket,https://twitter.com/peoplesmarket,,
1010617,http://organicgrowndirect.com/,https://www.facebook.com/OrganicProduceDelivery,https://twitter.com/OrganicGrownDr,http://www.youtube.com/user/OrganicGrownDirect,http://organicgrowndirect.com/shop
1001887,,https://www.facebook.com/pages/Anderson-Area-Farm-Food-Association/431344110224404,,,
1009028,,https://www.facebook.com/pages/Abbeville-Farmers-Market/234180039938887,,,
1003865,http://www.iatp.org/minimarkets,,,,
1002947,http://www.dakotaflavor.com/category.asp?catid=12,,,,
1019473,http://www.aberdeensundaymarket.org,Facebook.com/AberdeenSundayMarket,,,
1010487,http://www.abingdonfarmersmarket.com,https://www.facebook.com/abingdonfarmersmarket,,,
1000065,http://www.grownyc.org,https://www.facebook.com/ManhattanGreenmarkets,,,
